" "	"Akt"	"Alk1"	"Alk5"	"ATF2"	"ATF4"	"B-catenin"	"BMP"	"CCND1"	"Col-II"	"Col-X"	"d-EF1"	"Destruction complex"	"DKK1"	"Dlx5"	"Dsh"	"Elk1"	"ERK1/2"	"FGF"	"Fgfr1"	"Fgfr3"	"FOXO"	"Frizzled-LRP5/6"	"FRZB"	"Gli2"	"Grem1"	"GSK3beta"	"HDAC4"	"Hif-2a"	"IGF-IR"	"IGFI"	"Ihh"	"IkBa"	"Infl. cytokines"	"JNK"	"Lef/tcf"	"Mef2C"	"MMP13"	"Msx2"	"NFkB"	"Nkx3.2"	"p38"	"PI3K"	"PKA"	"PP2A"	"PPR"	"Proteoglycans"	"PTHrP"	"R-Smad"	"R_inflam"	"Ras"	"Runx2"	"Smad Complex"	"Smad3"	"Smad7"	"SOCS"	"Sox9"	"Stat1"	"TAK1"	"TGF-beta"	"Wnt"
"Grem1"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[-1] There is a Wnt signalling feeback loop, Wnt signalling decreases transcriptional expression of Wnt antagonists Frzb and DKK1 and of BMP antagonist, Grem1"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] Grem1 transcript is dowregulated upon depletion of Sox9 Grem1 transcript level negatively correlate with OA. Grem1 is expressed in non hypetrophic chondrocyte (expressing Sox9). This regulatory link enable Sox9+ chondrocyte to express Grem1 in the model"	"[0] "	"[0] "	"[0] "	"[0] "
"GSK3beta"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"HDAC4"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"Hif-2a"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] NfkB is an inducer of Hif2-a promoter in chondrocytes, Nfkb would bind to the EPAS1 enhancer promoter upstream of Ihh " the proinflammatory cytokines tumor necrosis factor-α (TNF-α) and interleukin-1β (IL-1β), putative inducers of the NF-κB signal28, increased EPAS1 expression in cultured chondrogenic cells""	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"IGF-IR"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] NfkB was proven to bind to IGF-1R promotor. It stimulates its expression"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] TGF-beta and IGFI were shown to have a combined effect on chondrocyte differentiation. Moreover, TGFbeta treatment would increase the number of IGFI receptor in articular chondrocyte. TGFbeta is not a transcription factor so the aforementionned observation are taken into account by upregulation of IGFI-R expression by TGF-beta's downstream effector: Smad3"	"[0] "	"[0] "	"[0] "	"[1] "	"[0] "	"[0] "	"[0] "
"IGFI"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] NfKb binds and activates IGFI promotor"	"[0] "	"[0] "	"[0] "	"[1] Uncertainty"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"Ihh"	"[0] "	"[0] "	"[0] "	"[0] "	"[1] ATF4 influences chondrocyte proliferation by activating Ihh expression ATF4-deficient mice show reduced expression of Ihh, ATF4 binds to the promoter region of the Ihh gene, and treatment with a hedgehog agonist rescue limb development in ATF4-deficient mice "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[-1] delta-EF1 (or Zeb1) is a negative regulator of Ihh expression in growth plate chondrocytes"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[-1] Ihh expression is up-regulated in absence or with deletion of FGFR3 in articular chondrocytes. FGFR3 is not a transcriptional regulator so this link is most likely indirect but the mechanism is not yet fully understood, so we accounted for that information with the current indirect link The mechanisms of action for the regulation of IHH expression by FGFR3 is still elusive but it go through activation of the ERK/MAPK axis without donwstream activation of Runx2 or Elk-1 (Ets1) activity but leading to downregulation of Gli2 and Ihh expresion. Even though FGFR3 is not a transcription factor, this effect was modelled by a direct inlfuence of FGFR3 activity on Ihh and GLi2 expression. Data of RT-PCR revealed that Gli1, Runx2 , Col10 Mmp13 and Adamts5  expressions were increased significantly in Fgfr3 cKO mice compared to Cre-negative mice. This effect is reduced by treatment with inhibitor of Ihh signalling."	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] Msx2 overexpression induces Ihh expression in mouse primary chondrocytes and thereby it may play a role in chondrocyte maturation"	"[1] (weak link:not chondrocyte context + no ihh but shh)  Nuclear factor-kappaB regulates hedghog signalling in part through upregulation of shh expression."	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] Runx2 activates Ihh promoter and thus stimulates its expression mutant mice deficient for Runx2 leads to a decrease in Ihh expression"	"[1] BMP signalling induces Ihh expression (but effect of BMP on proliferation in independant of Ihh). BMP signalling is tranduces by Smad complex in the model"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"IkBa"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"Infl. cytokines"	"[0] "	"[0] "	"[0] "	"[1] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"JNK"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"Lef/tcf"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] [The Wnt homepage: Nusse website]. There is a positive feedback loop. Activation of Wnt pathway leads to upregulation of Lef/TCF7 gene expression, themselves downstream effectors of Wnt pathway"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] RUNX2 induces Tcf7 (and probably lef1) expression by direct binding to the promoters in chondrocytes"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"Mef2C"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] MEF2C might be a target of Runx2 since it is differentially expressed in Runx2-double KO mouse model"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"MMP13"	"[0] "	"[0] "	"[0] "	"[1] The Ras-ERK and JNK pathway induces phosphorylation of ATF2 and transcription of downstream targets. MMP13 mRNA expression is activated collaboratively by the MAPK pathways (JNK-ATF2/ERK-Elk1) JNK pathway, which mediates phosphorylation of AP-1/Jun family members, as well as Elk-1 and ATF-2, is required for cytokine induction of MMP-1 and MMP-13"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] In articular cartilage, FGF1 activates MAPK/ERK1/2 as well as PKC pathways and they coordinately activate Ets1/Elk1 transcription factor. In this way, Ets1 mediate FGF1-induced upregulation of Runx2 and catabolic proteins such as MMP13 and ADAMTS5 (Aggrecanase). In the model the end node 'MMP13' can as well represent Aggrecanase expression since they would be upregulated in similar circumstances Elk-1 is a direct target of NFkappaB and induces MMP-13 expression upon activation of the NFkappaB signaling pathway MAPKs signal through Ets1 (Elk-1) and promotes expression of MMP13 in OA JNK pathway, which mediates phosphorylation of AP-1/Jun family members, as well as Elk-1 and ATF-2, is required for cytokine induction of MMP-1 and MMP-13"	"[0] "	"[0] "	"[0] "	"[0] "	"[-1] Deletion of FOXO resulted in increase Mmp13 expression in articular cartilage"	"[0] "	"[0] "	"[1] Hedgehog signalling promotes chondrocyte hypertrophy and upregulation of MMP-13 in human osteoarthritic cartilage However there are controversial effet reported since Studies in other cell type show that Gli2 activity downregulate MMP13. (initial growth plate model included a negative link between Gli2 and MMP13)"	"[0] "	"[0] "	"[0] "	"[1] MMP13 is a downtream target of Hif2-Alpha. Hif2a promotes mmp13 gene expression"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] See ATF2 JNK pathway, which mediates phosphorylation of AP-1/Jun family members, as well as Elk-1 and ATF-2, is required for cytokine induction of MMP-1 and MMP-13"	"[0] "	"[0] "	"[0] "	"[0] "	"[1] activation of NfKB pathway promotes production of catabolic enzymes such as MMP13 during OA in human articular cartilage. Bloackage of MAPK/NfkB pathway in OA chondrocyte reduce MMP13 expression"	"[0] "	"[1] MAPK/p38 would promote MMP13 expression during osteoarthritis Various potential OA treatment  decreasing MMP13 production and expression would pass by inhibtion of MAPK/p38 pathway"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] There is a Cbfa1 (Runx2) binding site in MMP13 promoter MMP13 is a target gene of Runx2. Runx2 promote MMP13 expression"	"[1] "	"[-1] TGF-beta dependant activation of ALK5 trigger anti-anabolic and pro-catabolic signals including reduction of MMP13 expression. The pro-catabolic effect of TGF-beta is tranduced by Smad3 in the model (see ref TGF-B & ALK5)."	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"Msx2"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[-1] Dlx5 can bind to Msx2 promotor and was shown to be involved in negative feedback loop. They might influence each other transcriptional level by supression of their respective expression"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] Msx2 was shown to bind to its own promoter sequence thereby autoactivating its expression. (in transgenic mouses, during limb development)"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] BMP-2 upregulates expression of Msx2 in chondrocytes. "The stimulatory effect of Msx2 on chondrocyte maturation was enhanced by overexpression of Smad1 and Smad4 " Smad1 and Smad4 form the Smad Complex which tranduce BMP signalling in the nucleus"	"[1] TGF-B1 signalling would stimulate Msx2 expression (weak reference or not chondrocyte specifc)"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"NFkB"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"Nkx3.2"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] PTHrP signals block chondrocyte hypertrophy, in part, by maintaining the expression of Nkx3.2/Bapx1. PKA is not a transcription factor therefore this link is indirect, however it allows to account for the upregulation of Nkx3.2 by PthrP signalling"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] Sox9 directly binds to Nkx3.2 promoter and up-regulates its expression. Nkx3.2 expression contributes to Runx2 downregulation by Sox9 activity"	"[0] "	"[0] "	"[0] "	"[0] "
"p38"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[-1] Mathematically inferred interaction based on microarray data"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"PI3K"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] Runx2 upregulate protein levels of Pi3K by binding to promoter sites upstrem to the Pi3K gene"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"PKA"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"PP2A"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[-1] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"PPR"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] Not direct evidence but Gli2 promotes PTHrP expression in the context of Ihh/PTHrP feedback loop. To mimick activation of PThrP signalling by Ihh signalling, Gli2 also upregulated expression of PThrP receptors (PPR) in the model  PTHrP receptor PPR would also be a target of Ihh signalling (transduced by GLi2 transcription factor in the model)"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] BMP2 downtsream effector is Smad complex in the model. "BMP‐2 induced the response of C2C12 cells to PTHrP", this effect passes by upregulation of PTH1R (PPR)"	"[0] "	"[0] "	"[0] "	"[1] Sox9 is required for the Ihh - Pthrp/PthrPreceptor loop to prevent conversion of proliferating chondrocytes into hypertrophic chondrocytes. PPR is expressed in prehypertrophic chodrocytes expressing Sox9 so upregulation of PPR expression by Sox9 transcription factor account for that in the model. "	"[-1] FGF signalling controls chondrocyte proliferation through the downstream effector STAT1 FGF/FGFR3 signalling decreases proliferation which is translated by an inhibitory effect of PTHrP receptor (PPR) expression. "FGFR3 down-regulates PTH/PTHrP receptor gene expression by mediating JAK/STAT signaling in chondrocytic cell line""	"[0] "	"[0] "	"[0] "
"Proteoglycans"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] FOXO regulate expression of Prg4 (Proteolycan 4) in articular cartilage"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[-1] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] Overexpression of Sox9 increase Acan mRNA expression, suggesting that SOX9 regulates proteoglycan production as it does for other ECM proteins such as type II collagen."	"[0] "	"[0] "	"[0] "	"[0] "
"PTHrP"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] Ihh and PthrP are involved in a negative feedback loop, which is major in regulating chondrocyte hypetrophy. Ihh induces production of PthrP, in the model Ihh signal is transduced by Gli2 in the nucleus.  transition from proliferating into hypertrophic chondrocytes is regulated by Gli3-dependent expression of PTHrP. Gli3 is another effector downtsream to Ihh signalling. All downstream effects are summarized by the Gli2 node in the model Ihh/Gli2 and Sox9 collaborate to mediate PthrP upregulation during endochondral ossification"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] TGF-B controls and promotes PthrP expression through Smad3 signaling"	"[0] "	"[0] "	"[1] Sox9 also mediates PrhrP upregulation in collaboration with ihh/Gli2 SOX9 binds to promotor region of PTHrP and up regulate its expression. Sox9 would inhibits late stage maturation of chondrocyte via up-regulation of parathyroid hormone-related protein."	"[0] "	"[0] "	"[0] "	"[0] "
"R-Smad"	"[0] "	"[0] "	"[0] "	"[0] "	"[-1] Mathematically inferred interaction based on microarray data"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] Mathematically inferred interaction based on microarray data"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"R_inflam"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[-1] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"Ras"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
